"name","plant_port","rep_bio","group","gen_id","gen_name","gen_group","lat","lon","alt","ara_hem","ara_tot","ara_xyl","cel_hem","fuc_hem","fuc_tot","gal_hem","gal_tot","glu_cel","glu_enz","glu_hem","glu_tot","H_G","hem_tot","lign_G","lign_H","lign_S","lign_tot","man_hem","man_tot","rha_hem","rha_tot","S_G","xyl_enz","xyl_hem","xyl_tot","GluE_perc","XylE_perc","LSR","DW","DW_port","GluE_t","XylE_t"
"M1.11","Leaf","1","M1","41","Gaheris","Sacc_rob",35.7333,127.583,350,1.722701628,2.582610985,0.096089728,2.366983383,1.554613007,0.095036436,0.805832679,0.786332634,39.82797903,20.37372052,1.424032974,41.252012,0.041264144,16.82647175,69.53677273,2.860854563,27.60237271,19.56001465,1.718120243,4.642453489,0.359123815,0.126442718,0.398579811,5.941844027,10.66608038,26.87707661,8.40456963207477,1.59699397143997,NA,1.272,NA,NA,NA
"M1.11","Leaf","2","M1","41","Gaheris","Sacc_rob",35.7333,127.583,350,1.546767046,2.934673346,0.111961518,2.607650984,1.687142058,0.069286577,0.925290868,0.804184529,38.94151919,18.40391977,1.307983961,40.24950315,0.035340883,14.93356259,71.56023497,2.527129912,25.91263511,21.27354068,0.912615096,3.556017158,0.303412322,0.086866964,0.363214901,5.743081932,9.558335196,26.21144647,7.40748626809269,1.5053448463995,0.13,1.172,0.13483185840708,0.099876513965186,0.0202968443183564
"M1.11","Leaf","3","M1","41","Gaheris","Sacc_rob",35.7333,127.583,350,1.715832647,2.743593303,0.105186611,2.297687278,1.382825189,0.440563135,0.934048316,0.867079789,37.50364003,13.99049642,1.351159603,38.85479963,0.048098795,16.32234307,67.87129678,3.179571886,28.94913134,19.8409727,1.475615007,2.70156985,NA,0.155263878,0.434181619,5.125912862,10.81402191,26.08310391,5.43597935269647,1.33699717815012,0.13,0.881,0.101353982300885,0.0550958155101174,0.0135509988330561
"M1.11","Stem","1","M1","41","Gaheris","Sacc_rob",35.7333,127.583,350,1.256233684,1.67251398,0.066242274,2.481325657,1.894242424,0.028484544,0.829948681,0.518537916,41.69376519,4.822295885,1.053287112,42.7470523,0.040751791,16.80302022,57.98325443,2.363170901,39.65357467,25.09716795,1.670486998,2.171277128,0.370777778,NA,0.68390068,3.273878154,10.78133066,25.2484384,2.06138934391081,0.826603108919382,NA,1.272,NA,NA,NA
"M1.11","Stem","2","M1","41","Gaheris","Sacc_rob",35.7333,127.583,350,1.282278048,1.623052661,0.067762784,2.402118466,1.826022397,0.0904125,0.722751889,0.39438298,39.45756631,6.047369352,1.144296692,40.601863,0.057020545,16.42615336,53.3501673,2.908541124,43.74129157,24.37776565,1.335965324,3.859663335,0.43857855,NA,0.845189184,3.537713853,10.82055716,23.95197728,2.45534461934058,0.847352418200716,0.13,1.172,1.03716814159292,0.254660521581164,0.0878846932859504
"M1.11","Stem","3","M1","41","Gaheris","Sacc_rob",35.7333,127.583,350,1.225551948,2.083665257,0.073246228,2.69148194,1.92140187,0.129397316,0.841529874,0.714369525,42.71063336,4.375028143,0.989876618,43.70050998,0.044462742,15.86881663,58.13165382,2.556079504,39.31226667,22.76894861,1.544550116,3.098934959,NA,NA,0.680721653,3.672505961,10.33578282,28.4474068,1.9119096102035,1.04473271044423,0.13,0.881,0.779646017699115,0.149061271379582,0.0814521697257844
"M3.05","Leaf","1","M3","38","Gareth","Sin_N_Japan",35.6165,135.974,20,2.430102761,4.874700953,0.185888036,2.020390816,1.847180461,0.064694342,0.968561436,1.301506151,36.39218864,17.73004068,1.590873209,37.98306185,NA,18.01245004,NA,NA,NA,24.83281475,1.129537644,2.933015798,0.503364365,0.163659296,NA,4.764844001,11.13370337,26.22385527,6.73441231908208,1.24952579451135,1.75,2.734,1.73981818181818,1.17166529965993,0.217394769594166
"M3.05","Leaf","2","M3","38","Gareth","Sin_N_Japan",35.6165,135.974,20,2.155902397,3.612783908,0.142973023,2.184994035,1.434975131,0.05622308,0.973634116,0.938852476,35.91926476,17.28825282,1.4126973,37.33196206,0.056683407,16.43906765,63.29387605,3.584621684,33.12150227,23.75925333,1.249648954,2.993271456,0.316980475,0.100925714,0.523549988,5.792990415,10.30792658,25.26899008,6.45404398336304,1.4638301734997,0.71,3.585,1.48850877192982,0.96069010836568,0.217892405386986
"M3.05","Leaf","3","M3","38","Gareth","Sin_N_Japan",35.6165,135.974,20,2.368606102,3.113842353,0.13145063,1.83949926,1.838123881,0.052735514,0.925908162,1.490213965,34.10528206,19.8376361,1.585267765,35.69054983,0.089719041,18.54052503,63.42220094,5.574040387,31.00375867,22.57925731,0.729370406,7.767854951,0.511381425,0.633885146,0.490068388,5.329447957,12.16713505,23.68830292,7.08016139852666,1.26245577628537,1,3.85,1.925,1.36293106921638,0.243022736934934
"M3.05","Stem","1","M3","38","Gareth","Sin_N_Japan",35.6165,135.974,20,1.475351397,2.091954324,0.078883142,2.283952853,2.200588235,0.099737123,0.864678249,0.58119721,41.40090786,4.071527738,1.164789721,42.56569758,0.055676061,18.12686624,52.47350903,2.921823408,44.60466756,28.14287229,1.688378408,2.752458135,0.478953846,0.0656625,0.85330697,4.011533749,11.4189161,26.51966277,1.73307418388091,1.06384522193853,1.75,2.734,0.994181818181818,0.17229908431747,0.105765557701089
