Genotype.y,biol_rep,name,gen_n,pop_dapc8,pop_dapc8_n,pop_dapc8_ID,ID,Genotype,pop_dapc5,Lat,Long,Alt,Country,Ac_ara,Ac_gal,Ac_glc,Ac_xyl,Ac_man,Ac_cel,Ara,Gal,Glc,Xyl,Man,Cel,AraEnz,GlcEnz,XylEnz,AraEnz_p,GlcEnz_p,XylEnz_p,AraE,GlcE,XylE,AraE_DW,GlcE_DW,XylE_DW,ADF,NDF,ADL,Ash,DM,K_Lignin,Cellulose,Hemicellulose,CelHem,XylAra,ManGal,XylGlc,DWL,DWS,LSR,DW,GlcE_harv
Mb229,1,Angharad,11,Sin_S_Japan,1,M1,M1.01,Mb229,2,40.91,124.852,450,China,1.162666667,0.319933333,9.0571,8.414,0.563033333,NA,3.312929769,0.910418031,25.77341644,23.93857664,1.598855779,NA,1.971666667,9.91700451,1.7092852,0.343356096,1.633327305,0.322800238,12.58027791,8.666701312,1.925867838,1.157110042,5.504313018,1.087836802,55.4,89.04,8.84,1.77,92.32,20.38,46.56,33.64,1.384066587,7.225802632,1.756177629,0.928808825,6.14,7.95,0.77,0.337,5.504313018
Mb229,2,Angharad,11,Sin_S_Japan,1,M1,M1.01,Mb229,2,40.91,124.852,450,China,1.050866667,0.3772,11.55706667,9.462066667,0.670866667,NA,2.965150502,1.064108954,32.6231506,26.70514843,1.894039971,NA,0.8912,20.4322956,2.57317029,0.165990146,3.608213771,0.481321231,5.569507721,11.10665451,1.794884658,0.17096985,3.716460184,0.495760868,46.93,81.28,7.4,3.72,92.39,19.75,39.53,34.35,1.150800582,9.006338265,1.779930489,0.818595014,2.94,8.71,0.34,0.103,3.716460184
Mb229,3,Angharad,11,Sin_S_Japan,1,M1,M1.01,Mb229,2,40.91,124.852,450,China,1.259333333,0.4947,13.34133333,10.68636667,0.785333333,NA,3.566174227,1.400900686,37.78502533,30.26887288,2.219723389,NA,2.436533333,28.83234641,4.2146568,0.476581173,5.432761513,0.828951026,13.33402688,14.3722983,2.738171744,0.681511077,7.768848963,1.185399968,42.21,77.32,6.53,4.21,91.95,19.26,35.68,35.11,1.016234691,8.487771757,1.584497324,0.801081185,5.51,6.22,0.89,0.143,7.768848963
Mb1205#12,1,Bedivere,39,Sin_S_Japan,1,M1,M1.03,Mb1205,2,35.2884,132.686,62,Japan,NA,NA,13.3082,7.6939,3.151466667,NA,NA,NA,37.9522784,22.02591734,8.96775932,NA,1.11915,9.76865617,1.0487631,0.222279336,1.718853688,0.210653711,NA,4.701737261,0.681653697,6.550572017,50.65461819,6.207964863,59.32,92.42,9.92,1.29,92.69,20.64,49.4,33.1,1.49244713,NA,NA,0.580358236,11.07,19.34,0.57,2.947,50.65461819
Mb1205#12,2,Bedivere,39,Sin_S_Japan,1,M1,M1.03,Mb1205,2,35.2884,132.686,62,Japan,0.7649,0.205433333,14.38496667,10.78526667,0.807666667,NA,2.151924561,0.578495386,40.4287208,30.31441773,2.267962204,NA,4.2568,9.47089045,1.2277116,0.840344524,1.640221317,0.243519777,3.012737676,4.04922634,0.80582527,17.08420418,33.34569937,4.95075706,58.55,91.62,9.82,1.16,92.3,20.86,48.73,33.07,1.473540974,14.08711917,3.920449945,0.749823817,18.13,34.84,0.52,2.033,33.34569937
Mb1205#12,3,Bedivere,39,Sin_S_Japan,1,M1,M1.03,Mb1205,2,35.2884,132.686,62,Japan,0.902866667,0.253633333,14.74083333,10.37423333,0.230866667,NA,2.617190812,0.735245372,42.7263929,30.07073219,0.669103451,NA,0.345933333,11.21671675,1.8863493,0.067764295,1.950436093,0.368082853,2.595744821,4.566271212,1.224164652,1.836412404,52.85681811,9.975045316,62.26,93.35,11.05,1.13,93.24,21.19,51.21,31.09,1.647153426,11.48969806,0.910041024,0.703797586,14.42,31.13,0.46,2.71,52.85681811
Mb1201#13,1,Urien,37,Sin_S_Japan,1,M1,M1.02,Mb1201,2,35.4304,133.284,2,Japan,1.542266667,0.7894,12.4024,10.21106667,2.4118,NA,4.439605409,2.265706238,35.77997142,29.43485577,6.899640053,NA,0.4663,12.61545376,1.4174325,0.09324237,2.273308363,0.2825237,2.030110651,6.359814615,0.96124543,NA,NA,NA,54.21,82.84,9.63,3.68,93.3,20.37,44.58,28.63,1.557107929,6.630061246,3.045249175,0.82266292,22.39,32.52,0.69,NA,NA
Mb1201#13,2,Urien,37,Sin_S_Japan,1,M1,M1.02,Mb1201,2,35.4304,133.284,2,Japan,0.849066667,0.2319,13.53316667,9.486166667,0.831533333,NA,2.501987086,0.683388385,39.87456425,27.95326749,2.443977278,NA,0.866566667,16.81826837,2.5413355,0.17249922,3.122185032,0.509747409,6.907759737,7.818611999,1.807782239,3.451709399,62.47492248,10.20004566,47.98,79.43,7.63,4.5,92.61,19.34,40.35,31.45,1.282988871,11.17242677,3.576263997,0.701030043,22.22,34.11,0.65,2.001,62.47492248
Mb1201#13,3,Urien,37,Sin_S_Japan,1,M1,M1.02,Mb1201,2,35.4304,133.284,2,Japan,1.290733333,0.575733333,14.22623333,10.36396667,0.663833333,NA,3.669342623,1.619726877,40.6347288,29.6000444,1.848596894,NA,0.996,19.6720251,3.3093511,0.197432327,3.651533479,0.653839542,5.652816137,9.001452728,2.221338155,6.142119693,113.5992065,20.34094815,45.37,79.68,6.77,4.79,92.85,18.61,38.6,34.31,1.125036433,8.066852142,1.141301611,0.728442032,23.84,37.3,0.64,3.111,113.5992065
Mx1907#12,1,Cigfa,45,Sin (EMI/PRI),2,M2,M2.03,Mx1907,1,NA,NA,NA,NA,5.665866667,0.125633333,13.9309,12.50423333,19.0729,NA,2.392873789,0.356556521,39.60067906,35.54390713,54.22690516,NA,0.418,15.91703391,2.0010221,0.082581381,2.908771286,0.395912555,3.472785233,7.344845215,1.112740727,2.448537937,86.24506863,11.73880727,58.83,91.78,8.59,1.04,91.77,19.3,50.24,32.95,1.524734446,14.85406681,152.0850188,0.897558021,17.78,31.21,0.57,2.965,86.24506863
