accession;geno;species;pop_dapc8;pop_dapc5;Lat;Long;Soil.all;TAA;TRD;TIA;TSA;TMA;TmA.1;TRA;TWeQ;TDQ;TWaQ;TCQ;PTA;PWM;PDM;PSA;PWeQ;PDQ;PWaQ;PCQ;T_GR;T_SA;T_SI;T_CL;T_RB;T_BD;T_OC;T_PH;T_CE;T_CS;T_BS;T_TE;T_CA;T_CO;T_ES;T_EC;S_GR;S_SA;S_SI;S_CL;S_RD;S_BD;S_OC;S_PH;S_CE;S_CS;S_BS;S_TE;S_CA;S_CO;S_ES;S_EC
Mb1;Mb1;sacc;Sacc_rob;3;384005;14074;4354;97;83;25;8713;27;-58;328;209;-1;209;-12;1408;189;72;34;530;236;530;243;1125;405;385;21;14;1195;26675;6225;50;1675;5975;92;975;0;175;1;1,16667E+14;3,93333E+14;3,63333E+14;2,43333E+14;138;1,22333E+14;9,33333E+14;59;56;1,83333E+14;5,06667E+14;5,63333E+14;0;0;1;1
Mb10;Mb10;sin;Sin_N_Japan;1;384005;14074;4354;97;83;25;8713;27;-58;328;209;-1;209;-12;1408;189;72;34;530;236;530;243;1125;405;385;21;14;1195;26675;6225;50;1675;5975;92;975;0;175;1;1,16667E+14;3,93333E+14;3,63333E+14;2,43333E+14;138;1,22333E+14;9,33333E+14;59;56;1,83333E+14;5,06667E+14;5,63333E+14;0;0;1;1
Mb1014;Mb1014#1;flor;Flor_Taiwan;4;243971;121244;11879;56;7;44;3293;121;-38;159;85;27;92;1;3553;551;77;54;1487;275;1423;646;4;41;37;22;14;143;74;65;47;13;91;11;0;0;1;1;3;37;34;29;135;151;36;67;50;14;93;131;0;0;1;1
Mb1025;Mb1025#22;flor;Sacc_rob;3;2409786;12117022;11851;131;74;45;3205;203;41;162;166;10;167;87;2741;395;67;52;1130;227;1067;290;10;42;38;20;141;13;145;51;32;12;38;43;0;0;2;1;19;45;35;20;142;136;5;52;35;9;33;26;0;0;2;1
Mb1029;Mb1029#24;flor;Sacc_rob;3;2418619;12133481;11879;102;73;45;3232;171;1;161;131;72;137;57;3421;438;93;46;1301;325;1120;428;4;41;37;22;14;143;74;65;47;13;91;11;0;0;1;1;3;37;34;29;135;151;36;67;50;14;93;131;0;0;1;1
Mb1030;Mb1030#216;flor;Flor_Taiwan;4;2406064;12115519;11851;155;74;45;3244;228;65;163;185;122;191;11;2280;327;51;56;962;172;858;228;10;42;38;20;141;13;145;51;32;12;38;43;0;0;2;1;19;45;35;20;142;136;5;52;35;9;33;26;0;0;2;1
Mb1031;Mb1031#1;flor;Flor_Taiwan;4;2408244;12116356;11851;135;75;46;3200;207;45;162;17;104;171;91;2623;384;64;53;1094;212;1034;271;10;42;38;20;141;13;145;51;32;12;38;43;0;0;2;1;19;45;35;20;142;136;5;52;35;9;33;26;0;0;2;1
Mb1037;Mb1037#52;sacc;Sacc_rob;3;330103;118285;11876;153;89;26;9269;316;-25;341;269;3;269;3;834;221;25;78;441;83;441;83;4;42;38;20;141;147;106;56;37;11;67;84;0;0;3;1;4;33;31;36;13;14;43;63;47;17;89;152;0;0;4;1
Mb1038;Mb1038#900;rob;Sacc_rob;3;330037;118404;11481;152;88;25;9255;316;-25;341;268;3;268;3;835;224;25;78;440;84;440;84;4;14;39;47;123;141;97;8;51;28;100;223;133;0;2;1;3;15;40;45;124;146;45;79;51;21;100;209;192;2;3;19
Mb1039;Mb1039#900;sacc;Sacc_rob;3;314751;119253;11663;159;83;25;8877;323;-8;331;27;65;27;42;1131;182;35;48;473;133;473;139;4;37;40;23;138;135;107;62;41;13;88;102;0;0;2;1;5;36;36;28;135;15;37;66;42;13;90;119;0;0;2;1
Mb1040;Mb1040#17;sacc;Sacc_rob;3;314751;119253;11663;159;83;25;8877;323;-8;331;27;65;27;42;1131;182;35;48;473;133;473;139;4;37;40;23;138;135;107;62;41;13;88;102;0;0;2;1;5;36;36;28;135;15;37;66;42;13;90;119;0;0;2;1
