accession,geno,choice,name,ID,species,pop_dapc8,pop_dapc8_ID,pop_dapc5,Lat,Long,Soil.all,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51
Mb1014,Mb1014#1,0,noone,NA,flor,Flor_Taiwan,M5,4,24.3971,121.244,11879,5.636821807,2.441731441,-2.827864798,5.478550642,-2.73996712,-5.156079162,2.505168308,-2.435008769,-3.911637957,-1.43868568,0.02783252,0.399940003,0.619675602,-0.267877416,-0.381932186,-0.254639367,-0.295433408,-0.329837163,0.253355339,0.071417858,-0.990005802,-0.174110323,0.290307104,0.666238269,0.230807576,0.287541815,-0.13994664,-0.125465497,0.301796415,-0.014323265,-0.008638951,-0.142656758,-0.002919631,0.061833617,-0.030408526,-0.077213061,-0.031157197,-0.073445438,-0.003242675,0.001364268,0.051662161,0.038965857,-0.010278111,0.007781939,0.014662393,-0.001322112,0.004437189,0.005571852,-0.00085871,-9.17E-05,-1.03E-15
Mb1031,Mb1031#1,0,noone,NA,flor,Flor_Taiwan,M5,4,24.08244,121.16356,11851,6.487364108,1.236763374,-3.13391258,2.927098107,-0.380965092,-0.086567765,-0.553536189,0.624578513,0.849345524,-1.761029982,1.022913537,-0.363177076,0.039923831,0.109030764,0.667374152,0.419648058,-0.189187694,-0.111074768,0.04588253,0.106341178,0.105824372,0.107465706,-0.026963035,-0.014431444,-0.164985235,0.02626469,0.101917966,0.08672067,-0.034698368,-0.01866083,0.020111046,0.011017642,-0.049347001,-0.066990353,0.013734169,-0.028923585,-0.058148368,-0.035121069,0.009840377,-0.029974704,-0.012743779,0.000355531,-0.001640797,0.013136626,-0.007721235,0.00307891,0.004359659,0.00264733,-0.000669784,-5.58E-05,-2.64E-15
Mb1181,Mb1181#25,1,Llyr,M5.01,flor,Flor_Taiwan,M5,4,23.2899,120.498,11798,7.363720172,-3.432111425,-5.214432033,2.857995362,0.171877544,0.552855268,-7.026137216,-0.882956257,-0.863080948,1.565627104,-1.462381485,1.446436613,-0.382959441,-0.106375234,0.769540267,0.164443761,0.176282589,-0.346059467,-0.639173411,-0.826661373,0.330014175,0.844590005,0.23983303,0.206889868,0.171461836,0.018757313,0.279908643,-0.053771889,0.131012786,0.333829924,0.150261034,-0.30120947,0.107554269,0.213915616,0.072098435,0.068735012,-0.037516259,0.081513502,-0.017163049,-0.086002806,0.124408026,-0.096033694,0.057486041,0.006093816,-0.02809975,0.021794915,0.006883017,-0.009933941,-0.002455127,-0.000133276,-5.55E-17
Mb1030,Mb1030#216,1,Lancelot,M5.02,flor,Flor_Taiwan,M5,4,24.06064,121.15519,11851,5.810393676,0.546958155,-2.871289823,2.587342436,0.386593974,0.759849409,-1.286355796,0.87328908,1.111838168,-2.168020923,1.115623087,-0.554452228,-0.117863789,0.38655085,0.612414033,0.507275976,-0.122169039,-0.307360291,0.044629716,0.239981024,-0.02672479,0.110373502,-0.080476643,0.007986466,-0.144047724,-0.08320676,0.143199444,0.014406514,-0.043105133,-0.037410989,-0.001098128,0.049330427,-0.050961978,-0.037119674,0.023863362,-0.05159323,-0.054304755,-0.018322584,-0.002474918,-0.021886464,-0.027994462,-0.006780054,0.009994204,0.02551114,-0.013430618,0.003211931,0.004450854,0.003881747,0.000935799,-8.90E-05,-2.78E-15
Mb1096,Mb1096#5,0,noone,NA,flor,Flor_Taiwan,M5,4,24.0611,121.116,11851,6.787655143,1.500685532,-3.419321229,3.13829971,-0.723835843,-0.590482356,-0.543998675,0.516733738,0.741175495,-1.477138619,0.820739561,-0.256570383,-0.099441612,-0.163258659,0.597097879,0.376795676,-0.158007177,-0.019319331,0.11373735,-0.014149083,-0.002725819,0.06852039,0.047988393,-0.071113223,-0.137695414,-0.032523082,0.027940676,0.027350215,-0.097120639,-0.026835924,-0.03859474,0.005533369,-0.028303635,-0.06517584,0.010250214,-0.012515856,-0.050871279,-0.012537715,-0.004130113,-0.007919028,-0.016652681,-0.004320939,-0.002040695,-0.003263618,-0.012535671,0.001713775,0.001084947,-0.000821024,-0.001165214,2.64E-05,-2.47E-15
Mb1097,Mb1097#23,0,noone,NA,flor,Flor_Taiwan,M5,4,24.0611,121.116,11851,6.787655143,1.500685532,-3.419321229,3.13829971,-0.723835843,-0.590482356,-0.543998675,0.516733738,0.741175495,-1.477138619,0.820739561,-0.256570383,-0.099441612,-0.163258659,0.597097879,0.376795676,-0.158007177,-0.019319331,0.11373735,-0.014149083,-0.002725819,0.06852039,0.047988393,-0.071113223,-0.137695414,-0.032523082,0.027940676,0.027350215,-0.097120639,-0.026835924,-0.03859474,0.005533369,-0.028303635,-0.06517584,0.010250214,-0.012515856,-0.050871279,-0.012537715,-0.004130113,-0.007919028,-0.016652681,-0.004320939,-0.002040695,-0.003263618,-0.012535671,0.001713775,0.001084947,-0.000821024,-0.001165214,2.64E-05,-2.47E-15
Mb1098,Mb1098#23,0,noone,NA,flor,Flor_Taiwan,M5,4,24.0611,121.116,11851,6.787655143,1.500685532,-3.419321229,3.13829971,-0.723835843,-0.590482356,-0.543998675,0.516733738,0.741175495,-1.477138619,0.820739561,-0.256570383,-0.099441612,-0.163258659,0.597097879,0.376795676,-0.158007177,-0.019319331,0.11373735,-0.014149083,-0.002725819,0.06852039,0.047988393,-0.071113223,-0.137695414,-0.032523082,0.027940676,0.027350215,-0.097120639,-0.026835924,-0.03859474,0.005533369,-0.028303635,-0.06517584,0.010250214,-0.012515856,-0.050871279,-0.012537715,-0.004130113,-0.007919028,-0.016652681,-0.004320939,-0.002040695,-0.003263618,-0.012535671,0.001713775,0.001084947,-0.000821024,-0.001165214,2.64E-05,-2.47E-15
Mb1099,Mb1099#26,0,noone,NA,cond,Flor_Taiwan,M5,4,24.0611,121.116,11851,6.787655143,1.500685532,-3.419321229,3.13829971,-0.723835843,-0.590482356,-0.543998675,0.516733738,0.741175495,-1.477138619,0.820739561,-0.256570383,-0.099441612,-0.163258659,0.597097879,0.376795676,-0.158007177,-0.019319331,0.11373735,-0.014149083,-0.002725819,0.06852039,0.047988393,-0.071113223,-0.137695414,-0.032523082,0.027940676,0.027350215,-0.097120639,-0.026835924,-0.03859474,0.005533369,-0.028303635,-0.06517584,0.010250214,-0.012515856,-0.050871279,-0.012537715,-0.004130113,-0.007919028,-0.016652681,-0.004320939,-0.002040695,-0.003263618,-0.012535671,0.001713775,0.001084947,-0.000821024,-0.001165214,2.64E-05,-2.47E-15
Mb1100,Mb1100#41,0,noone,NA,cond,Flor_Taiwan,M5,4,24.0611,121.116,11851,6.787655143,1.500685532,-3.419321229,3.13829971,-0.723835843,-0.590482356,-0.543998675,0.516733738,0.741175495,-1.477138619,0.820739561,-0.256570383,-0.099441612,-0.163258659,0.597097879,0.376795676,-0.158007177,-0.019319331,0.11373735,-0.014149083,-0.002725819,0.06852039,0.047988393,-0.071113223,-0.137695414,-0.032523082,0.027940676,0.027350215,-0.097120639,-0.026835924,-0.03859474,0.005533369,-0.028303635,-0.06517584,0.010250214,-0.012515856,-0.050871279,-0.012537715,-0.004130113,-0.007919028,-0.016652681,-0.004320939,-0.002040695,-0.003263618,-0.012535671,0.001713775,0.001084947,-0.000821024,-0.001165214,2.64E-05,-2.47E-15
Mb1123,Mb1123#27,1,Gawain,M5.03,sin,Flor_Taiwan,M5,4,24.6254,121.485,11389,8.47624527,0.057611616,-2.692461031,3.405864549,0.801431629,1.496035325,2.084090569,0.966704661,2.621756553,0.979290236,0.616109474,-0.382210133,0.15742183,-0.561096435,-0.189690816,0.816989345,0.353513642,0.217273176,0.119604187,0.488663557,0.549192221,-0.052100791,0.192798277,-0.063794406,0.381136898,-0.05202427,-0.200795124,-0.126413844,0.098385918,0.080448655,0.049434916,-0.193248084,-0.113148622,0.076890457,-0.098198733,-0.037454314,0.064324993,0.035811098,0.006378314,-0.014425068,-0.011495955,0.008896235,-0.009677382,-0.001751288,0.010328175,-0.013588025,-0.005839548,0.004864753,0.001400417,-0.000423169,2.91E-15
