UID,Genotype,Location,biol_rep,DW
63015,Mb514,ABR 33 AM rep 1-R5 C1,1,1.52
63016,Mx2446#1,ABR 33 AM rep 1-R6 C1,1,2.972
63017,Mb504,ABR 33 AM rep 1-R7 C1,1,2.459
63018,Mb427#1,ABR 33 AM rep 1-R8 C1,1,0.782
63020,Mb1041#17,ABR 33 AM rep 1-R10 C1,1,1.43
63023,Mx2470#5,ABR 33 AM rep 1-R13 C1,1,3.279
63024,Mb360,ABR 33 AM rep 1-R14 C1,1,1.166
63025,Mb349,ABR 33 AM rep 1-R15 C1,1,1.586
63026,Mx1781#11,ABR 33 AM rep 1-R16 C1,1,4.734
63028,Mx2402#2,ABR 33 AM rep 1-R18 C1,1,1.697
63030,Mb378#1,ABR 33 AM rep 1-R20 C1,1,1.329
63031,Mb425#1,ABR 33 AM rep 1-R21 C1,1,1.433
63032,Mb512#1,ABR 33 AM rep 1-R22 C1,1,2.221
63034,Mb431#1,ABR 33 AM rep 1-R24 C1,1,0.358
63035,Mb410,ABR 33 AM rep 1-R25 C1,1,1.59
63036,Mb1270#15,ABR 33 AM rep 1-R26 C1,1,0
63037,Mb411,ABR 33 AM rep 1-R27 C1,1,1.67
63038,Mb1191#90,ABR 33 AM rep 1-R28 C1,1,0
63039,Mb1094#900,ABR 33 AM rep 1-R29 C1,1,0
63042,Mb781#15,ABR 33 AM rep 1-R32 C1,1,1.082
63057,Mb497#1,ABR 33 AM rep 1-R34 C2,1,2.286
63059,Mb494#1,ABR 33 AM rep 1-R32 C2,1,0.837
63060,Mb177,ABR 33 AM rep 1-R31 C2,1,2.092
63062,Mb433#1,ABR 33 AM rep 1-R29 C2,1,0
63063,Mb500#1,ABR 33 AM rep 1-R28 C2,1,0
63065,Mb491#1,ABR 33 AM rep 1-R26 C2,1,1.23
63073,Mb397,ABR 33 AM rep 1-R18 C2,1,1.233
63074,Mb403#1,ABR 33 AM rep 1-R17 C2,1,1.255
63075,Mb51,ABR 33 AM rep 1-R16 C2,1,0.581
63076,Mb415#1,ABR 33 AM rep 1-R15 C2,1,1.054
63077,Mb1301#15,ABR 33 AM rep 1-R14 C2,1,1.838
63080,Mb368#1,ABR 33 AM rep 1-R11 C2,1,1.003
63082,Mb435#1,ABR 33 AM rep 1-R9 C2,1,1.257
63083,Mb346,ABR 33 AM rep 1-R8 C2,1,2.132
63085,Mb404,ABR 33 AM rep 1-R6 C2,1,1.219
63088,Mb414#1,ABR 33 AM rep 1-R3 C2,1,1.838
63093,Mb486,ABR 33 AM rep 1-R3 C3,1,0.35
63094,Mb72,ABR 33 AM rep 1-R4 C3,1,1.163
